Size,BlockSize,CPU_Time_ms,GPU_Time_ms,Speedup
200,8,126.199,0.2984,422.919
200,16,126.199,0.127328,991.133
200,32,126.199,0.204736,616.399
400,8,1172.05,0.77488,1512.55
400,16,1172.05,0.760352,1541.45
400,32,1172.05,0.864288,1356.09
800,8,10658.7,11.5352,924.02
800,16,10658.7,11.4236,933.04
800,32,10658.7,11.6831,912.317
1200,8,41438.7,38.6982,1070.82
1200,16,41438.7,38.3295,1081.12
1200,32,41438.7,37.3901,1108.28
1600,8,128744,91.3216,1409.78
1600,16,128744,80.4799,1599.7
1600,32,128744,68.3586,1883.36
2000,8,272234,178.898,1521.73
2000,16,272234,76.2755,3569.09
2000,32,272234,74.7317,3642.82
